Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
5123,Losses,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,4213,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,3158,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,3186,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,333,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,346,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,360,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,341,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,369,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,362,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,368,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,82527,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,84858,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,85325,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,86928,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,86478,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,86933,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,87006,S,Standardized data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2007,2007,kg,71.2,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2008,2008,kg,72.24,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2009,2009,kg,71.69,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2010,2010,kg,72.1,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2011,2011,kg,70.82,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2012,2012,kg,70.3,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2013,2013,kg,69.49,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2007,2007,kcal/capita/day,706,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2008,2008,kcal/capita/day,717,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2009,2009,kcal/capita/day,711,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2010,2010,kcal/capita/day,715,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2011,2011,kcal/capita/day,703,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2012,2012,kcal/capita/day,697,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2013,2013,kcal/capita/day,689,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2007,2007,g/capita/day,13.27,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2008,2008,g/capita/day,13.47,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2009,2009,g/capita/day,13.36,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2010,2010,g/capita/day,13.44,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2011,2011,g/capita/day,13.2,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2012,2012,g/capita/day,13.1,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,12.96,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2007,2007,g/capita/day,1.57,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2008,2008,g/capita/day,1.59,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2009,2009,g/capita/day,1.58,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2010,2010,g/capita/day,1.58,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2011,2011,g/capita/day,1.56,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2012,2012,g/capita/day,1.54,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,1.53,Fc,Calculated data
5511,Production,2513,Barley and products,2007,2007,1000 tonnes,1330,S,Standardized data
5511,Production,2513,Barley and products,2008,2008,1000 tonnes,1200,S,Standardized data
5511,Production,2513,Barley and products,2009,2009,1000 tonnes,1689,S,Standardized data
5511,Production,2513,Barley and products,2010,2010,1000 tonnes,1355,S,Standardized data
5511,Production,2513,Barley and products,2011,2011,1000 tonnes,1663,S,Standardized data
5511,Production,2513,Barley and products,2012,2012,1000 tonnes,1620,S,Standardized data
5511,Production,2513,Barley and products,2013,2013,1000 tonnes,1750,S,Standardized data
5611,Import Quantity,2513,Barley and products,2007,2007,1000 tonnes,9,S,Standardized data
5611,Import Quantity,2513,Barley and products,2008,2008,1000 tonnes,6,S,Standardized data
5611,Import Quantity,2513,Barley and products,2009,2009,1000 tonnes,4,S,Standardized data
5611,Import Quantity,2513,Barley and products,2010,2010,1000 tonnes,5,S,Standardized data
5611,Import Quantity,2513,Barley and products,2011,2011,1000 tonnes,6,S,Standardized data
5611,Import Quantity,2513,Barley and products,2012,2012,1000 tonnes,41,S,Standardized data
5611,Import Quantity,2513,Barley and products,2013,2013,1000 tonnes,12,S,Standardized data
5072,Stock Variation,2513,Barley and products,2007,2007,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2008,2008,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2009,2009,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2010,2010,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2011,2011,1000 tonnes,-13,S,Standardized data
5072,Stock Variation,2513,Barley and products,2012,2012,1000 tonnes,-8,S,Standardized data
5072,Stock Variation,2513,Barley and products,2013,2013,1000 tonnes,20,S,Standardized data
5911,Export Quantity,2513,Barley and products,2007,2007,1000 tonnes,350,S,Standardized data
5911,Export Quantity,2513,Barley and products,2008,2008,1000 tonnes,169,S,Standardized data
5911,Export Quantity,2513,Barley and products,2009,2009,1000 tonnes,57,S,Standardized data
5911,Export Quantity,2513,Barley and products,2010,2010,1000 tonnes,39,S,Standardized data
5911,Export Quantity,2513,Barley and products,2011,2011,1000 tonnes,48,S,Standardized data
5911,Export Quantity,2513,Barley and products,2012,2012,1000 tonnes,120,S,Standardized data
5911,Export Quantity,2513,Barley and products,2013,2013,1000 tonnes,557,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2007,2007,1000 tonnes,989,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2008,2008,1000 tonnes,1037,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2009,2009,1000 tonnes,1636,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2010,2010,1000 tonnes,1321,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2011,2011,1000 tonnes,1608,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2012,2012,1000 tonnes,1533,S,Standardized data
5301,Domestic supply quantity,2513,Barley and products,2013,2013,1000 tonnes,1226,S,Standardized data
5521,Feed,2513,Barley and products,2007,2007,1000 tonnes,120,S,Standardized data
5521,Feed,2513,Barley and products,2008,2008,1000 tonnes,108,S,Standardized data
5521,Feed,2513,Barley and products,2009,2009,1000 tonnes,152,S,Standardized data
5521,Feed,2513,Barley and products,2010,2010,1000 tonnes,122,S,Standardized data
5521,Feed,2513,Barley and products,2011,2011,1000 tonnes,150,S,Standardized data
5521,Feed,2513,Barley and products,2012,2012,1000 tonnes,149,S,Standardized data
5521,Feed,2513,Barley and products,2013,2013,1000 tonnes,158,S,Standardized data
5527,Seed,2513,Barley and products,2007,2007,1000 tonnes,72,S,Standardized data
5527,Seed,2513,Barley and products,2008,2008,1000 tonnes,85,S,Standardized data
5527,Seed,2513,Barley and products,2009,2009,1000 tonnes,75,S,Standardized data
5527,Seed,2513,Barley and products,2010,2010,1000 tonnes,85,S,Standardized data
5527,Seed,2513,Barley and products,2011,2011,1000 tonnes,92,S,Standardized data
5527,Seed,2513,Barley and products,2012,2012,1000 tonnes,94,S,Standardized data
5527,Seed,2513,Barley and products,2013,2013,1000 tonnes,97,S,Standardized data
5123,Losses,2513,Barley and products,2007,2007,1000 tonnes,27,S,Standardized data
5123,Losses,2513,Barley and products,2008,2008,1000 tonnes,24,S,Standardized data
5123,Losses,2513,Barley and products,2009,2009,1000 tonnes,34,S,Standardized data
5123,Losses,2513,Barley and products,2010,2010,1000 tonnes,27,S,Standardized data
5123,Losses,2513,Barley and products,2011,2011,1000 tonnes,33,S,Standardized data
5123,Losses,2513,Barley and products,2012,2012,1000 tonnes,33,S,Standardized data
5123,Losses,2513,Barley and products,2013,2013,1000 tonnes,35,S,Standardized data
5131,Processing,2513,Barley and products,2007,2007,1000 tonnes,79,S,Standardized data
5131,Processing,2513,Barley and products,2008,2008,1000 tonnes,80,S,Standardized data
5131,Processing,2513,Barley and products,2009,2009,1000 tonnes,99,S,Standardized data
5131,Processing,2513,Barley and products,2010,2010,1000 tonnes,103,S,Standardized data
5131,Processing,2513,Barley and products,2011,2011,1000 tonnes,116,S,Standardized data
5131,Processing,2513,Barley and products,2012,2012,1000 tonnes,105,S,Standardized data
5131,Processing,2513,Barley and products,2013,2013,1000 tonnes,102,S,Standardized data
5142,Food,2513,Barley and products,2007,2007,1000 tonnes,691,S,Standardized data
5142,Food,2513,Barley and products,2008,2008,1000 tonnes,740,S,Standardized data
5142,Food,2513,Barley and products,2009,2009,1000 tonnes,1276,S,Standardized data
5142,Food,2513,Barley and products,2010,2010,1000 tonnes,984,S,Standardized data
5142,Food,2513,Barley and products,2011,2011,1000 tonnes,1217,S,Standardized data
5142,Food,2513,Barley and products,2012,2012,1000 tonnes,1152,S,Standardized data
5142,Food,2513,Barley and products,2013,2013,1000 tonnes,835,S,Standardized data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2007,2007,kg,0.6,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2008,2008,kg,0.63,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2009,2009,kg,1.07,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2010,2010,kg,0.82,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2011,2011,kg,1,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2012,2012,kg,0.93,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2513,Barley and products,2013,2013,kg,0.67,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2007,2007,kcal/capita/day,4,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2008,2008,kcal/capita/day,4,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2009,2009,kcal/capita/day,7,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2010,2010,kcal/capita/day,5,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2011,2011,kcal/capita/day,7,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2012,2012,kcal/capita/day,6,Fc,Calculated data
664,Food supply (kcal/capita/day),2513,Barley and products,2013,2013,kcal/capita/day,4,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2007,2007,g/capita/day,0.1,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2008,2008,g/capita/day,0.11,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2009,2009,g/capita/day,0.18,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2010,2010,g/capita/day,0.14,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2011,2011,g/capita/day,0.17,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2012,2012,g/capita/day,0.16,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2513,Barley and products,2013,2013,g/capita/day,0.11,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2513,Barley and products,2007,2007,g/capita/day,0.02,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2513,Barley and products,2008,2008,g/capita/day,0.02,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2513,Barley and products,2009,2009,g/capita/day,0.03,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2513,Barley and products,2010,2010,g/capita/day,0.02,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2513,Barley and products,2011,2011,g/capita/day,0.03,Fc,Calculated data
