Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5419","Yield","79","Millet","2015","2015","hg/ha","12758","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2016","2016","hg/ha","11629","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","79","Millet","2007","2007","tonnes","12673000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2008","2008","tonnes","11371800","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2009","2009","tonnes","8776800","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2010","2010","tonnes","13293000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2011","2011","tonnes","12660000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2012","2012","tonnes","10750000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2013","2013","tonnes","10910000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2014","2014","tonnes","11420000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2015","2015","tonnes","11630000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2016","2016","tonnes","10280000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2007","2007","ha","360000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2008","2008","ha","339400","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2009","2009","ha","375500","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2010","2010","ha","388730","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2011","2011","ha","310000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2012","2012","ha","315000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2013","2013","ha","298740","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2014","2014","ha","234000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2015","2015","ha","252000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2016","2016","ha","281396","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2007","2007","hg/ha","3056","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2008","2008","hg/ha","3447","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2009","2009","hg/ha","2663","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2010","2010","hg/ha","2778","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2011","2011","hg/ha","3161","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2012","2012","hg/ha","3238","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2013","2013","hg/ha","3280","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2014","2014","hg/ha","3248","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2015","2015","hg/ha","2937","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2016","2016","hg/ha","3021","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2007","2007","tonnes","110000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2008","2008","tonnes","117000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2009","2009","tonnes","100000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2010","2010","tonnes","108000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2011","2011","tonnes","98000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2012","2012","tonnes","102000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2013","2013","tonnes","98000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2014","2014","tonnes","76000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2015","2015","tonnes","74000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2016","2016","tonnes","85000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2007","2007","ha","43910000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2008","2008","ha","45537400","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2009","2009","ha","41918300","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2010","2010","ha","42862400","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2011","2011","ha","44010000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2012","2012","ha","42754000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2013","2013","ha","44135950","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2014","2014","ha","44110000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2015","2015","ha","43390000","","Official data"
"QC","Crops","100","India","5312","Area harvested","27","Rice, paddy","2016","2016","ha","42964980","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2007","2007","hg/ha","32924","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2008","2008","hg/ha","32509","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2009","2009","hg/ha","32366","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2010","2010","hg/ha","33587","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2011","2011","hg/ha","35878","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2012","2012","hg/ha","36909","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2013","2013","hg/ha","36070","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2014","2014","hg/ha","35638","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2015","2015","hg/ha","36077","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","36950","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2007","2007","tonnes","144570000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2008","2008","tonnes","148036000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2009","2009","tonnes","135672992","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2010","2010","tonnes","143963008","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2011","2011","tonnes","157900000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2012","2012","tonnes","157800000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2013","2013","tonnes","159200000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2014","2014","tonnes","157200000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2015","2015","tonnes","156540000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2016","2016","tonnes","158756871","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2007","2007","ha","8470000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2008","2008","ha","7764000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2009","2009","ha","7530900","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2010","2010","ha","7787200","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2011","2011","ha","7381700","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2012","2012","ha","6250000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2013","2013","ha","6210000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2014","2014","ha","5790000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2015","2015","ha","6160000","","Official data"
"QC","Crops","100","India","5312","Area harvested","83","Sorghum","2016","2016","ha","5650000","","Official data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2007","2007","hg/ha","8443","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2008","2008","hg/ha","10209","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2009","2009","hg/ha","9621","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2010","2010","hg/ha","8602","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2011","2011","hg/ha","9487","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2012","2012","hg/ha","9568","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2013","2013","hg/ha","8502","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2014","2014","hg/ha","9568","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2015","2015","hg/ha","8847","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","83","Sorghum","2016","2016","hg/ha","7805","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2007","2007","tonnes","7150800","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2008","2008","tonnes","7925900","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2009","2009","tonnes","7245600","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2010","2010","tonnes","6698200","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2011","2011","tonnes","7003100","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2012","2012","tonnes","5980000","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2013","2013","tonnes","5280000","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2014","2014","tonnes","5540000","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2015","2015","tonnes","5450000","","Official data"
"QC","Crops","100","India","5510","Production","83","Sorghum","2016","2016","tonnes","4410000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2007","2007","ha","8880000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2008","2008","ha","9510800","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2009","2009","ha","9734700","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2010","2010","ha","9554190","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2011","2011","ha","10180000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2012","2012","ha","10840000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2013","2013","ha","11716430","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2014","2014","ha","11086000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2015","2015","ha","11670000","","Official data"
"QC","Crops","100","India","5312","Area harvested","236","Soybeans","2016","2016","ha","11500000","*","Unofficial figure"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2007","2007","hg/ha","12351","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2008","2008","hg/ha","10415","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2009","2009","hg/ha","10236","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2010","2010","hg/ha","13330","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2011","2011","hg/ha","11998","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2012","2012","hg/ha","13530","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2013","2013","hg/ha","10123","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2014","2014","hg/ha","9358","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2015","2015","hg/ha","7344","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","236","Soybeans","2016","2016","hg/ha","12181","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2007","2007","tonnes","10968000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2008","2008","tonnes","9905400","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2009","2009","tonnes","9964500","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2010","2010","tonnes","12736000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2011","2011","tonnes","12214000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2012","2012","tonnes","14666000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2013","2013","tonnes","11861000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2014","2014","tonnes","10374000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2015","2015","tonnes","8570000","","Official data"
"QC","Crops","100","India","5510","Production","236","Soybeans","2016","2016","tonnes","14008000","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2007","2007","ha","5150000","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2008","2008","ha","5055200","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2009","2009","ha","4415400","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2010","2010","ha","4174600","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2011","2011","ha","4944390","","Official data"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2012","2012","ha","5090000","*","Unofficial figure"
"QC","Crops","100","India","5312","Area harvested","156","Sugar cane","2013","2013","ha","5060000","*","Unofficial figure"
